,3afterDHI,3afterDNI,3afterWS,3afterRH,3afterT,3afterTARGET,2afterDHI,2afterDNI,2afterWS,2afterRH,2afterT,2afterTARGET,1afterDHI,1afterDNI,1afterWS,1afterRH,1afterT,1afterTARGET,0afterDHI,0afterDNI,0afterWS,0afterRH,0afterT,0afterTARGET
298,0.0,0.0,2.1,61.34,-0.5,0.0,0.0,0.0,2.4,54.98,-5.3,0.0,0.0,0.0,1.2,54.27,-5.3,0.0,0,0,3.5,77.21,-4.3,0.0
299,0.0,0.0,1.9,60.9,-0.4,0.0,0.0,0.0,2.6,53.34,-4.9,0.0,0.0,0.0,1.1,53.46,-5.1,0.0,0,0,3.6,79.07,-4.6,0.0
300,0.0,0.0,1.8,59.38,-0.4,0.0,0.0,0.0,2.7,54.36,-4.5,0.0,0.0,0.0,1.0,55.11,-4.9,0.0,0,0,3.8,74.74,-4.9,0.0
301,0.0,0.0,1.7,59.38,-0.4,0.0,0.0,0.0,2.9,51.96,-3.9,0.0,0.0,0.0,0.9,53.4,-4.5,0.0,0,0,3.9,76.45,-5.2,0.0
302,0.0,0.0,1.6,59.46,-0.5,0.0,0.0,0.0,3.1,53.54,-3.3,0.0,0.0,0.0,0.8,54.74,-4.2,0.0,0,0,4.1,69.45,-5.5,0.0
303,8.0,39.0,1.8,55.3,0.5,0.844626256,13.0,174.0,3.2,50.89,-2.6,1.501608945,7.0,21.0,0.7,50.8,-3.2,0.656958245,5,0,4.5,68.92,-5.4,0.469267235
304,36.0,98.0,2.1,55.23,1.4,4.316935944,28.0,536.0,3.3,51.39,-2.0,7.60184516,28.0,86.0,0.6,51.47,-2.2,3.378605275,20,0,5.0,63.5,-5.4,1.877068939
305,51.0,460.0,2.3,51.07,2.5,12.38757948,37.0,708.0,3.1,47.75,-1.0,15.10967433,49.0,247.0,0.6,47.13,-1.0,8.634099617,34,0,5.3,62.54,-5.2,3.191010182
306,65.0,566.0,2.6,50.31,3.6,19.14420957,42.0,818.0,2.9,46.76,0.0,22.71118636,44.0,771.0,0.6,48.31,0.2,21.77265972,50,1,5.6,61.26,-5.1,4.692656876
307,51.0,825.0,2.5,46.91,4.6,28.52831249,45.0,883.0,2.7,43.14,1.1,29.56172404,82.0,501.0,1.2,45.6,1.0,22.05400884,66,7,5.8,60.8,-5.0,6.382006337999999
308,49.0,904.0,2.5,45.71,5.6,34.90926187,46.0,932.0,2.6,39.34,2.1,35.5675247,106.0,35.0,1.7,48.86,1.7,11.16768878,119,41,5.9,60.54,-4.8,12.57627897
309,50.0,932.0,2.3,43.86,6.2,39.60110582,50.0,964.0,2.2,37.97,2.6,40.72881503,129.0,61.0,2.0,49.57,1.5,14.35848856,142,71,6.0,60.08,-4.7,15.95496324
310,53.0,950.0,2.2,41.47,6.8,43.16679751,52.0,980.0,1.8,34.77,3.1,44.29468907,182.0,240.0,2.3,59.22,1.3,26.74626296,137,26,6.1,59.66,-4.6,13.89018803
311,54.0,958.0,2.2,41.18,6.9,45.23124681,52.0,990.0,1.4,34.04,3.4,46.45296356,153.0,504.0,2.5,59.15,1.3,35.56783741,108,18,6.1,59.66,-4.6,10.88690413
312,64.0,915.0,2.1,39.2,7.0,44.94967512,53.0,994.0,1.0,31.94,3.7,47.29740695,81.0,841.0,2.8,65.92,1.3,43.4509465,111,23,6.2,59.63,-4.6,11.35616724
313,183.0,356.0,2.1,39.74,6.8,32.09357554,52.0,992.0,0.7,31.5,3.9,46.640396,96.0,765.0,2.8,62.18,2.1,41.29211311,137,38,6.3,60.08,-4.7,14.45331964
314,160.0,318.0,2.1,40.96,6.5,27.87082855,50.0,983.0,0.4,30.63,4.0,44.48193845,61.0,907.0,2.8,61.85,2.9,42.51173359,117,29,6.4,60.25,-4.8,12.20086765
315,68.0,40.0,1.9,42.4,6.0,7.882701897,49.0,967.0,0.5,31.06,3.8,41.10365372,58.0,894.0,2.3,60.48,3.2,39.22703323,78,9,6.5,61.64,-5.1,7.695957276000001
316,36.0,0.0,1.8,45.7,5.4,3.3783230910000004,47.0,942.0,0.6,31.86,3.6,36.31769168,53.0,873.0,1.9,61.16,3.6,34.72234088,93,24,6.6,61.52,-5.3,9.573041066
317,38.0,5.0,1.5,48.65,4.5,3.753729453,44.0,905.0,0.7,33.47,2.9,30.49958812,50.0,832.0,1.2,63.81,3.0,29.09188285,104,30,6.5,62.46,-5.5,10.60545116
318,47.0,91.0,1.3,50.43,3.6,6.569091519,39.0,849.0,0.8,40.15,2.1,23.64911933,66.0,564.0,0.6,68.01,2.4,19.51984366,99,40,6.5,61.5,-5.7,10.23005944
319,34.0,40.0,1.2,54.96,2.4,3.84766149,34.0,760.0,0.9,45.03,0.5,16.14174623,39.0,669.0,0.7,73.56,1.3,15.20313895,68,22,6.3,63.0,-6.0,6.757492734
320,16.0,2.0,1.1,55.24,1.2,1.5015462380000002,26.0,611.0,1.0,48.64,-1.2,8.540269478999999,32.0,444.0,0.7,75.94,0.3,7.507805447000001,38,16,6.0,62.02,-6.3,3.754175007
321,4.0,0.0,1.1,55.24,1.2,0.375386559,15.0,244.0,1.0,48.64,-1.2,1.970831418,10.0,18.0,0.7,75.94,0.3,1.032323249,10,5,6.0,62.02,-6.3,0.938543752
322,0.0,0.0,1.1,58.2,-0.5,0.0,0.0,0.0,1.0,54.19,-2.7,0.0,0.0,0.0,0.7,80.88,-1.1,0.0,0,0,5.4,61.99,-6.8,0.0
323,0.0,0.0,1.0,60.8,-1.1,0.0,0.0,0.0,0.8,55.41,-3.0,0.0,0.0,0.0,0.6,82.67,-1.4,0.0,0,0,5.1,62.46,-6.9,0.0
324,0.0,0.0,0.9,59.93,-1.7,0.0,0.0,0.0,0.6,58.09,-3.4,0.0,0.0,0.0,0.5,82.47,-1.7,0.0,0,0,4.9,60.98,-7.1,0.0
325,0.0,0.0,0.8,62.25,-2.2,0.0,0.0,0.0,0.6,59.85,-3.8,0.0,0.0,0.0,0.4,84.21,-2.0,0.0,0,0,4.7,61.45,-7.2,0.0
326,0.0,0.0,0.8,61.77,-2.8,0.0,0.0,0.0,0.6,61.67,-4.1,0.0,0.0,0.0,0.3,83.84,-2.2,0.0,0,0,4.5,59.31,-7.3,0.0
327,0.0,0.0,0.7,62.7,-3.0,0.0,0.0,0.0,0.7,62.6,-4.3,0.0,0.0,0.0,0.4,84.46,-2.3,0.0,0,0,4.3,59.77,-7.4,0.0
328,0.0,0.0,0.6,62.49,-3.3,0.0,0.0,0.0,0.9,60.62,-4.4,0.0,0.0,0.0,0.5,83.07,-2.4,0.0,0,0,4.1,57.3,-7.5,0.0
329,0.0,0.0,0.8,63.99,-3.6,0.0,0.0,0.0,1.3,61.08,-4.5,0.0,0.0,0.0,0.5,83.69,-2.5,0.0,0,0,4.0,58.2,-7.7,0.0
330,0.0,0.0,0.9,63.12,-4.0,0.0,0.0,0.0,1.7,58.2,-4.6,0.0,0.0,0.0,0.5,82.74,-2.6,0.0,0,0,3.8,55.23,-7.8,0.0
331,0.0,0.0,1.2,65.54,-4.5,0.0,0.0,0.0,1.9,57.76,-4.5,0.0,0.0,0.0,0.5,82.74,-2.6,0.0,0,0,3.6,56.09,-8.0,0.0
332,0.0,0.0,1.5,63.06,-5.0,0.0,0.0,0.0,2.1,56.23,-4.4,0.0,0.0,0.0,0.5,82.0,-2.6,0.0,0,0,3.4,53.54,-8.2,0.0
333,0.0,0.0,1.7,65.0,-5.4,0.0,0.0,0.0,2.1,55.81,-4.3,0.0,0.0,0.0,0.6,82.0,-2.6,0.0,0,0,3.4,53.89,-8.3,0.0
334,0.0,0.0,2.0,60.61,-5.7,0.0,0.0,0.0,2.2,54.18,-4.2,0.0,0.0,0.0,0.7,81.38,-2.6,0.0,0,0,3.4,51.96,-8.4,0.0
335,0.0,0.0,2.2,61.54,-5.9,0.0,0.0,0.0,2.1,54.52,-4.3,0.0,0.0,0.0,0.8,81.99,-2.7,0.0,0,0,3.4,51.96,-8.4,0.0
288,0.0,0.0,3.9,54.93,-4.2,0.0,0.0,0.0,0.7,62.81,-4.9,0.0,0.0,0.0,1.8,57.06,-15.6,0.0,0,0,1.7,52.4,-10.7,0.0
289,0.0,0.0,3.8,54.52,-4.1,0.0,0.0,0.0,0.7,63.77,-5.1,0.0,0.0,0.0,1.5,57.06,-15.6,0.0,0,0,1.7,51.58,-10.5,0.0
290,0.0,0.0,3.7,56.81,-4.0,0.0,0.0,0.0,0.7,64.16,-5.3,0.0,0.0,0.0,1.3,56.57,-15.5,0.0,0,0,1.7,49.37,-10.3,0.0
291,0.0,0.0,3.6,55.9,-3.8,0.0,0.0,0.0,0.7,64.64,-5.4,0.0,0.0,0.0,1.0,56.11,-15.4,0.0,0,0,1.7,48.59,-10.1,0.0
292,0.0,0.0,3.4,58.48,-3.7,0.0,0.0,0.0,0.7,64.49,-5.4,0.0,0.0,0.0,0.8,56.21,-15.3,0.0,0,0,1.7,47.31,-10.0,0.0
293,0.0,0.0,3.2,58.05,-3.6,0.0,0.0,0.0,0.5,64.0,-5.3,0.0,0.0,0.0,0.7,56.21,-15.3,0.0,0,0,1.6,46.57,-9.8,0.0
294,0.0,0.0,3.0,60.69,-3.6,0.0,0.0,0.0,0.4,64.52,-5.3,0.0,0.0,0.0,0.6,55.99,-15.2,0.0,0,0,1.6,45.08,-9.6,0.0
295,0.0,0.0,3.0,60.24,-3.5,0.0,0.0,0.0,0.5,64.52,-5.3,0.0,0.0,0.0,0.7,55.46,-15.1,0.0,0,0,1.6,44.38,-9.4,0.0
296,0.0,0.0,2.9,61.65,-3.5,0.0,0.0,0.0,0.7,65.73,-5.3,0.0,0.0,0.0,0.9,55.22,-15.0,0.0,0,0,1.6,42.89,-9.2,0.0
297,0.0,0.0,3.0,61.19,-3.4,0.0,0.0,0.0,1.5,66.81,-5.5,0.0,0.0,0.0,1.0,54.32,-14.8,0.0,0,0,1.5,42.22,-9.0,0.0
298,0.0,0.0,3.1,61.61,-3.3,0.0,0.0,0.0,2.4,67.63,-5.7,0.0,0.0,0.0,1.1,54.93,-14.6,0.0,0,0,1.5,40.64,-8.8,0.0
299,0.0,0.0,3.3,61.61,-3.3,0.0,0.0,0.0,3.4,71.43,-6.4,0.0,0.0,0.0,1.2,53.59,-14.3,0.0,0,0,1.5,40.01,-8.6,0.0
300,0.0,0.0,3.4,61.66,-3.2,0.0,0.0,0.0,4.5,70.4,-7.0,0.0,0.0,0.0,1.2,54.41,-14.1,0.0,0,0,1.5,38.75,-8.4,0.0
301,0.0,0.0,3.5,61.59,-3.2,0.0,0.0,0.0,5.0,74.31,-7.7,0.0,0.0,0.0,1.2,53.53,-13.9,0.0,0,0,1.4,37.9,-8.1,0.0
302,0.0,0.0,3.6,61.46,-3.2,0.0,0.0,0.0,5.5,68.15,-8.4,0.0,0.0,0.0,1.2,52.97,-13.6,0.0,0,0,1.4,36.53,-7.7,0.0
303,11.0,179.0,3.8,56.23,-2.0,1.313899164,4.0,0.0,5.3,69.85,-8.7,0.375427402,8.0,48.0,1.4,50.45,-13.0,0.844751568,12,199,1.3,33.56,-6.6,1.407820269
304,22.0,580.0,4.1,53.75,-0.9,7.320206848,16.0,0.0,5.2,63.34,-9.1,1.5017162080000002,32.0,289.0,1.7,50.79,-12.4,5.631639992999999,24,586,1.1,35.87,-5.4,7.508275754
305,29.0,737.0,4.2,47.86,0.7,14.64015626,26.0,0.0,5.0,64.93,-9.4,2.440296883,52.0,408.0,1.7,46.13,-11.2,11.45085033,33,784,1.3,31.09,-3.5,15.76704987
306,33.0,828.0,4.4,44.95,2.4,21.95982411,39.0,0.0,4.7,59.52,-9.7,3.660457392,64.0,538.0,1.8,47.16,-10.1,18.30236741,38,874,1.5,32.17,-1.5,23.55620557
307,36.0,889.0,4.2,40.72,3.8,28.81009519,60.0,2.0,4.6,60.54,-9.9,5.725343375,70.0,659.0,1.6,42.53,-8.8,25.43523443,43,932,1.2,29.04,-0.1,30.78213765
308,38.0,929.0,3.9,38.26,5.2,34.72173031,118.0,8.0,4.5,56.34,-10.1,11.35685362,67.0,789.0,1.4,43.89,-7.4,32.84942839,47,971,1.0,25.24,1.3,37.069382
309,54.0,895.0,3.7,36.2,6.0,38.56893428,146.0,38.0,4.6,56.34,-10.1,15.111185399999998,87.0,699.0,1.1,40.03,-6.2,34.44451783,50,997,0.7,23.5,2.3,42.2304774
310,141.0,510.0,3.5,34.35,6.8,33.87655196,82.0,1.0,4.7,53.32,-10.2,7.696388597,124.0,583.0,0.9,40.88,-5.0,35.28874093,54,1013,0.5,21.91,3.2,46.17153193
311,186.0,230.0,3.3,33.88,7.0,27.11995013,137.0,15.0,4.9,53.32,-10.2,13.51560924,106.0,714.0,1.0,38.49,-4.2,40.26259778,55,1023,0.6,21.13,3.7,48.61122381
312,170.0,436.0,3.1,33.53,7.2,34.62712664,169.0,45.0,5.0,51.12,-10.2,17.83309553,102.0,789.0,1.2,38.8,-3.4,43.64089364,55,1027,0.7,21.65,4.2,49.54939214
313,203.0,236.0,2.9,33.76,7.1,29.09057197,96.0,1.0,4.9,51.93,-10.4,9.010425965,64.0,993.0,1.4,37.66,-3.0,48.42710136,54,1026,0.9,21.35,4.4,49.08006653
314,198.0,131.0,2.6,34.27,7.0,23.92936776,108.0,36.0,4.8,51.32,-10.6,11.63849245,62.0,986.0,1.5,38.33,-2.7,46.4560778,53,1018,1.1,22.14,4.5,47.10930463
315,169.0,75.0,2.4,35.46,6.5,18.76823471,143.0,66.0,4.8,52.21,-10.8,15.95603278,59.0,970.0,1.7,38.33,-2.7,42.98360329,52,1003,1.2,22.3,4.4,43.73099618
316,151.0,106.0,2.2,37.52,6.1,17.82990136,108.0,35.0,4.8,52.28,-11.0,11.35696594,56.0,946.0,1.8,38.9,-2.7,38.29107018,50,980,1.2,23.35,4.2,39.03891502
317,112.0,298.0,1.8,40.77,4.9,19.42546452,101.0,221.0,4.7,53.19,-11.2,16.14382177,53.0,909.0,2.0,40.37,-3.2,32.37865638,46,946,0.9,24.87,3.3,33.03325483
318,71.0,436.0,1.4,46.75,3.7,17.17346324,65.0,23.0,4.7,53.63,-11.5,6.66404142,47.0,854.0,2.1,41.8,-3.8,25.43383691,41,896,0.7,34.82,2.5,26.08899314
319,54.0,339.0,1.2,52.73,2.0,11.07380614,38.0,8.0,4.6,55.37,-11.9,3.754406035,40.0,769.0,2.0,47.15,-5.4,17.73830147,35,819,0.6,37.66,1.4,18.39390098
320,31.0,437.0,1.0,53.91,0.4,7.601644661,27.0,10.0,4.5,55.56,-12.3,2.628095776,30.0,629.0,1.8,48.23,-7.0,9.854785198,27,691,0.5,27.81,0.4,10.41706861
321,17.0,276.0,1.0,53.91,0.4,2.440034089,9.0,4.0,4.5,55.56,-12.3,0.844745071,18.0,310.0,1.8,48.23,-7.0,2.815652914,17,362,0.5,27.81,0.4,3.003118878
322,0.0,0.0,0.7,55.5,-0.9,0.0,0.0,0.0,1.7,60.56,-5.7,0.0,0.0,0.0,1.4,53.87,-9.6,0.0,0,0,0.6,28.14,-1.2,0.0
323,0.0,0.0,0.5,57.15,-1.3,0.0,0.0,0.0,1.5,62.44,-6.1,0.0,0.0,0.0,1.3,56.93,-10.3,0.0,0,0,0.9,30.29,-2.2,0.0
324,0.0,0.0,0.3,57.55,-1.6,0.0,0.0,0.0,1.2,63.32,-6.5,0.0,0.0,0.0,1.1,57.77,-11.0,0.0,0,0,1.2,34.56,-3.2,0.0
325,0.0,0.0,0.2,58.76,-1.9,0.0,0.0,0.0,1.2,64.79,-6.8,0.0,0.0,0.0,1.3,59.17,-11.3,0.0,0,0,1.3,36.73,-4.0,0.0
326,0.0,0.0,0.2,59.55,-2.3,0.0,0.0,0.0,1.2,65.4,-7.1,0.0,0.0,0.0,1.5,59.61,-11.6,0.0,0,0,1.5,41.92,-4.9,0.0
327,0.0,0.0,0.3,60.43,-2.5,0.0,0.0,0.0,1.3,65.9,-7.2,0.0,0.0,0.0,1.6,59.13,-11.5,0.0,0,0,1.5,42.88,-5.2,0.0
328,0.0,0.0,0.4,59.51,-2.7,0.0,0.0,0.0,1.3,66.06,-7.4,0.0,0.0,0.0,1.7,58.56,-11.4,0.0,0,0,1.6,45.58,-5.4,0.0
329,0.0,0.0,0.5,60.4,-2.9,0.0,0.0,0.0,1.1,67.09,-7.6,0.0,0.0,0.0,1.7,58.56,-11.4,0.0,0,0,1.7,45.58,-5.4,0.0
330,0.0,0.0,0.5,59.45,-3.2,0.0,0.0,0.0,0.9,67.16,-7.8,0.0,0.0,0.0,1.8,58.17,-11.4,0.0,0,0,1.8,44.37,-5.4,0.0
331,0.0,0.0,0.6,60.79,-3.5,0.0,0.0,0.0,0.8,68.74,-8.1,0.0,0.0,0.0,1.8,58.17,-11.4,0.0,0,0,1.7,43.65,-5.2,0.0
332,0.0,0.0,0.6,60.3,-3.8,0.0,0.0,0.0,0.7,68.71,-8.5,0.0,0.0,0.0,1.8,57.15,-11.3,0.0,0,0,1.5,40.62,-4.9,0.0
333,0.0,0.0,0.6,61.6,-4.1,0.0,0.0,0.0,0.6,69.79,-8.7,0.0,0.0,0.0,1.8,57.15,-11.3,0.0,0,0,1.5,40.62,-4.9,0.0
334,0.0,0.0,0.6,61.43,-4.4,0.0,0.0,0.0,0.5,67.91,-9.0,0.0,0.0,0.0,1.8,55.81,-11.2,0.0,0,0,1.5,39.21,-4.9,0.0
335,0.0,0.0,0.6,62.83,-4.7,0.0,0.0,0.0,0.4,68.98,-9.2,0.0,0.0,0.0,1.7,54.92,-11.0,0.0,0,0,1.5,39.5,-5.0,0.0
288,0.0,0.0,2.3,62.8,-2.1,0.0,0.0,0.0,2.3,65.99,0.4,0.0,0.0,0.0,2.5,62.34,-5.2,0.0,0,0,3.3,61.4,-1.4,0.0
289,0.0,0.0,2.2,63.27,-2.2,0.0,0.0,0.0,2.2,66.47,0.3,0.0,0.0,0.0,2.7,62.81,-5.3,0.0,0,0,3.3,60.95,-1.3,0.0
290,0.0,0.0,2.2,62.27,-2.3,0.0,0.0,0.0,2.1,66.24,0.1,0.0,0.0,0.0,2.8,61.26,-5.5,0.0,0,0,3.3,59.95,-1.3,0.0
291,0.0,0.0,2.2,61.81,-2.2,0.0,0.0,0.0,2.1,66.24,0.1,0.0,0.0,0.0,2.7,62.2,-5.7,0.0,0,0,3.3,59.52,-1.2,0.0
292,0.0,0.0,2.1,60.31,-2.1,0.0,0.0,0.0,2.0,64.76,0.0,0.0,0.0,0.0,2.7,60.43,-5.9,0.0,0,0,3.4,58.27,-1.1,0.0
293,0.0,0.0,2.0,60.76,-2.2,0.0,0.0,0.0,1.9,65.63,-0.2,0.0,0.0,0.0,2.7,61.36,-6.1,0.0,0,0,3.3,57.77,-1.0,0.0
294,0.0,0.0,2.0,59.66,-2.2,0.0,0.0,0.0,1.8,63.99,-0.4,0.0,0.0,0.0,2.7,59.59,-6.3,0.0,0,0,3.3,56.41,-0.8,0.0
295,0.0,0.0,1.9,59.66,-2.2,0.0,0.0,0.0,1.6,64.93,-0.6,0.0,0.0,0.0,2.7,60.04,-6.4,0.0,0,0,3.2,56.41,-0.8,0.0
296,0.0,0.0,1.9,59.36,-2.3,0.0,0.0,0.0,1.4,64.09,-0.8,0.0,0.0,0.0,2.8,58.02,-6.5,0.0,0,0,3.2,55.9,-0.7,0.0
297,0.0,0.0,1.9,59.36,-2.3,0.0,0.0,0.0,1.2,63.62,-0.7,0.0,0.0,0.0,2.7,58.92,-6.7,0.0,0,0,3.2,55.09,-0.5,0.0
298,0.0,0.0,1.9,59.2,-2.3,0.0,0.0,0.0,1.0,63.51,-0.6,0.0,0.0,0.0,2.7,57.15,-6.8,0.0,0,0,3.1,55.6,-0.4,0.0
299,0.0,0.0,1.8,59.2,-2.3,0.0,0.0,0.0,0.7,61.69,-0.2,0.0,0.0,0.0,2.7,58.03,-7.0,0.0,0,0,3.0,54.8,-0.2,0.0
300,0.0,0.0,1.8,59.53,-2.3,0.0,0.0,0.0,0.5,63.12,0.2,0.0,0.0,0.0,2.6,56.64,-7.1,0.0,0,0,2.9,56.05,-0.1,0.0
301,0.0,0.0,1.7,58.66,-2.1,0.0,0.0,0.0,0.6,62.29,0.4,0.0,0.0,0.0,2.7,56.2,-7.0,0.0,0,0,2.8,55.25,0.1,0.0
302,0.0,0.0,1.7,58.54,-1.8,0.0,0.0,0.0,0.7,65.48,0.5,0.0,0.0,0.0,2.7,55.09,-6.8,0.0,0,0,2.7,56.83,0.2,0.0
303,15.0,229.0,1.9,51.7,-0.1,1.876959613,8.0,0.0,0.9,65.56,0.5,0.750778895,15.0,267.0,3.2,49.13,-5.3,2.064773563,12,92,2.6,52.5,1.3,1.407698051
304,28.0,591.0,2.2,52.93,1.6,8.540006684,32.0,0.0,1.1,70.26,0.5,3.003115578,27.0,650.0,3.7,49.92,-3.8,9.197476079,36,315,2.6,55.38,2.3,6.663030879
305,37.0,744.0,2.7,48.31,2.9,16.51670003,57.0,0.0,1.7,69.85,0.6,5.349293744,34.0,794.0,3.7,44.0,-2.1,17.36225803,45,686,2.5,51.23,3.4,16.61045364
306,53.0,710.0,3.1,46.87,4.3,22.24089589,84.0,0.0,2.3,72.84,0.7,7.883161065,40.0,871.0,3.8,45.63,-0.4,25.33903831,54,719,2.4,53.84,4.6,22.99156763
307,84.0,596.0,3.1,43.71,5.3,26.08819032,106.0,1.0,3.0,72.84,0.7,9.947798487,45.0,920.0,3.9,41.53,0.9,32.65873834,57,834,2.2,50.58,5.5,31.24945424
308,80.0,723.0,3.0,42.53,6.3,33.31368984,135.0,9.0,3.7,73.25,0.8,12.95089323,49.0,951.0,4.0,41.43,2.3,39.03973022,65,846,2.0,48.31,6.5,36.87958121
309,69.0,880.0,2.9,40.21,7.1,41.6652063,156.0,16.0,4.3,73.25,0.8,15.29706954,57.0,964.0,4.1,39.7,2.9,44.38863132,109,654,1.8,45.99,7.2,36.87929748
310,76.0,860.0,2.8,38.51,7.8,44.29240107,174.0,20.0,4.9,70.68,0.9,17.17399172,66.0,968.0,4.2,41.02,3.6,48.51743307,150,512,1.5,45.14,7.9,36.59749456
311,77.0,868.0,2.7,36.93,8.4,46.63808933,194.0,32.0,5.3,70.68,0.9,19.70785935,85.0,897.0,4.3,40.44,3.8,49.17423414,88,822,1.2,43.88,8.3,46.26278332
312,80.0,880.0,2.7,35.5,8.9,48.32692961,217.0,56.0,5.6,67.31,1.0,22.9924773,71.0,974.0,4.4,42.72,4.1,52.36475607,77,890,0.9,42.61,8.8,49.26537074
313,67.0,962.0,2.7,34.79,9.2,50.76656837,225.0,73.0,5.7,67.31,1.0,24.49402684,71.0,973.0,4.2,43.02,4.0,52.17712611,72,956,0.7,42.33,8.9,51.79896144
314,62.0,976.0,2.6,35.57,9.4,49.64039858,218.0,87.0,5.9,65.16,1.1,24.40015318,71.0,946.0,4.0,45.99,3.9,49.73724322,70,929,0.4,43.34,9.0,49.17142385
315,61.0,939.0,2.5,36.05,9.2,45.60545698,185.0,308.0,5.7,65.25,1.1,30.50019147,105.0,734.0,3.7,46.64,3.7,41.47907514,68,885,0.5,44.82,8.5,44.85509497
316,61.0,886.0,2.3,43.68,8.9,40.25680155,168.0,312.0,5.5,64.04,1.0,28.06020699,153.0,274.0,3.4,51.34,3.5,25.24410801,65,852,0.6,55.28,8.0,40.16336014
317,55.0,856.0,2.0,46.42,8.0,34.62682218,145.0,339.0,5.0,65.05,0.8,25.4325512,133.0,54.0,3.2,52.8,3.1,14.35823608,56,834,0.7,59.18,7.0,34.81488407
318,54.0,761.0,1.7,48.85,7.2,27.11989051,121.0,143.0,4.4,64.77,0.6,15.57864494,76.0,14.0,3.0,57.18,2.7,7.507607423,57,768,0.9,59.0,5.9,28.3402213
319,44.0,760.0,1.5,53.78,5.8,21.30211028,96.0,200.0,3.7,68.22,-0.1,13.60795719,70.0,424.0,2.9,60.96,1.8,16.42305368,65,552,1.0,64.12,4.7,19.14397813
320,39.0,631.0,1.3,53.7,4.4,13.41959754,64.0,156.0,3.0,67.78,-0.8,8.446383233999999,39.0,625.0,2.8,60.24,0.8,13.7955167,50,454,1.1,58.3,3.4,12.19976821
321,26.0,387.0,1.3,53.7,4.4,5.536757027999999,32.0,65.0,3.0,67.78,-0.8,3.566250699,31.0,400.0,2.8,60.24,0.8,6.287752511,31,298,1.1,58.3,3.4,5.536817879
322,6.0,66.0,1.3,55.47,3.1,0.563068081,5.0,2.0,2.2,70.11,-2.6,0.469252795,7.0,52.0,3.0,62.36,-0.7,0.656940196,8,62,1.2,59.87,1.2,0.8446197590000001
323,0.0,0.0,1.3,56.66,2.8,0.0,0.0,0.0,2.0,72.85,-3.1,0.0,0.0,0.0,3.0,63.36,-0.9,0.0,0,0,1.2,62.96,0.5,0.0
324,0.0,0.0,1.4,57.0,2.6,0.0,0.0,0.0,1.8,70.9,-3.6,0.0,0.0,0.0,3.0,63.06,-1.2,0.0,0,0,1.2,62.26,-0.1,0.0
325,0.0,0.0,1.5,59.49,2.0,0.0,0.0,0.0,1.7,72.6,-3.9,0.0,0.0,0.0,3.0,63.52,-1.3,0.0,0,0,1.3,64.1,-0.5,0.0
326,0.0,0.0,1.6,60.57,1.4,0.0,0.0,0.0,1.6,70.37,-4.1,0.0,0.0,0.0,3.1,63.2,-1.4,0.0,0,0,1.4,63.51,-0.9,0.0
327,0.0,0.0,1.7,61.44,1.2,0.0,0.0,0.0,1.6,71.44,-4.3,0.0,0.0,0.0,3.3,62.74,-1.3,0.0,0,0,1.7,63.43,-0.9,0.0
