,Day,Hour,Minute,DHI,DNI,WS,RH,T,TARGET,SEASON
37,0,18,30,0,0,2.2,76.44,-8,0.0,3.0
38,0,19,0,0,0,2.3,76.72,-8,0.0,3.0
39,0,19,30,0,0,2.2,76.72,-8,0.0,3.0
40,0,20,0,0,0,2.2,77.51,-8,0.0,3.0
41,0,20,30,0,0,2.0,77.51,-8,0.0,3.0
42,0,21,0,0,0,1.9,83.46,-9,0.0,3.0
43,0,21,30,0,0,1.8,83.46,-9,0.0,3.0
44,0,22,0,0,0,1.8,83.36,-9,0.0,3.0
45,0,22,30,0,0,1.7,83.36,-9,0.0,3.0
46,0,23,0,0,0,1.7,90.86,-10,0.0,3.0
47,0,23,30,0,0,1.6,90.85,-10,0.0,3.0
48,1,0,0,0,0,1.6,90.66,-10,0.0,3.0
49,1,0,30,0,0,1.6,90.68,-10,0.0,3.0
50,1,1,0,0,0,1.6,88.11,-11,0.0,3.0
51,1,1,30,0,0,1.6,88.11,-11,0.0,3.0
52,1,2,0,0,0,1.6,90.85,-11,0.0,3.0
53,1,2,30,0,0,1.6,90.84,-11,0.0,3.0
54,1,3,0,0,0,1.7,93.78,-12,0.0,3.0
55,1,3,30,0,0,1.7,93.77,-12,0.0,3.0
56,1,4,0,0,0,1.7,90.46,-12,0.0,3.0
57,1,4,30,0,0,1.6,90.46,-12,0.0,3.0
58,1,5,0,0,0,1.6,87.34,-12,0.0,3.0
59,1,5,30,0,0,1.6,87.34,-12,0.0,3.0
60,1,6,0,0,0,1.7,84.96,-12,0.0,3.0
61,1,6,30,0,0,1.7,84.96,-12,0.0,3.0
62,1,7,0,0,0,1.8,83.2,-12,0.0,3.0
63,1,7,30,0,0,2.0,70.75,-10,0.0,3.0
64,1,8,0,27,519,2.3,73.26,-9,7.133144151000001,3.0
65,1,8,30,41,690,2.8,57.87,-6,14.92279645,3.0
66,1,9,0,49,799,3.3,66.23,-4,22.80603673,3.0
67,1,9,30,23,0,3.0,56.92,-2,2.158548626,3.0
68,1,10,0,60,910,2.7,57.91,-1,36.22567883,3.0
69,1,10,30,64,938,2.4,53.78,0,41.38691398,3.0
70,1,11,0,66,961,2.1,59.87,0,45.14082908,3.0
71,1,11,30,67,972,1.9,55.63,0,47.58087389,3.0
72,1,12,0,67,980,1.7,58.88,1,48.61266629,3.0
73,1,12,30,66,978,1.5,58.86,1,48.14343206,3.0
74,1,13,0,64,972,1.4,60.68,2,46.17214086,3.0
75,1,13,30,62,958,1.2,60.66,1,42.79416183,3.0
76,1,14,0,57,936,1.2,61.34,1,38.19566637,3.0
77,1,14,30,53,902,0.9,61.33,0,32.28366986,3.0
78,1,15,0,46,852,0.6,72.29,0,25.4327748,3.0
79,1,15,30,39,772,0.5,77.79,-1,17.73744378,3.0
80,1,16,0,28,641,0.5,68.91,-2,9.854243726,3.0
81,1,16,30,14,389,0.4,74.29,-3,2.627827206,3.0
82,1,17,0,0,0,0.4,67.81,-4,0.0,3.0
83,1,17,30,0,0,0.8,73.2,-5,0.0,3.0
84,1,18,0,0,0,1.3,73.62,-6,0.0,3.0
85,1,18,30,0,0,1.5,73.6,-6,0.0,3.0
86,1,19,0,0,0,1.8,74.97,-7,0.0,3.0
87,1,19,30,0,0,2.0,74.95,-7,0.0,3.0
88,1,20,0,0,0,2.2,71.27,-8,0.0,3.0
89,1,20,30,0,0,2.2,71.26,-8,0.0,3.0
90,1,21,0,0,0,2.2,74.5,-8,0.0,3.0
91,1,21,30,0,0,2.2,74.5,-8,0.0,3.0
92,1,22,0,0,0,2.2,72.83,-8,0.0,3.0
93,1,22,30,0,0,2.2,72.82,-8,0.0,3.0
94,1,23,0,0,0,2.2,72.51,-8,0.0,3.0
95,1,23,30,0,0,2.2,72.49,-8,0.0,3.0
96,2,0,0,0,0,2.2,73.8,-8,0.0,3.0
97,2,0,30,0,0,2.1,68.2,-8,0.0,3.0
98,2,1,0,0,0,2.1,69.06,-8,0.0,3.0
99,2,1,30,0,0,2.1,69.04,-8,0.0,3.0
100,2,2,0,0,0,2.2,69.38,-8,0.0,3.0
101,2,2,30,0,0,2.2,69.36,-7,0.0,3.0
102,2,3,0,0,0,2.2,70.03,-7,0.0,3.0
103,2,3,30,0,0,2.2,70.02,-7,0.0,3.0
104,2,4,0,0,0,2.3,72.18,-7,0.0,3.0
105,2,4,30,0,0,2.4,66.78,-7,0.0,3.0
106,2,5,0,0,0,2.5,68.32,-7,0.0,3.0
107,2,5,30,0,0,2.5,68.32,-7,0.0,3.0
108,2,6,0,0,0,2.6,69.68,-7,0.0,3.0
109,2,6,30,0,0,2.6,69.69,-6,0.0,3.0
110,2,7,0,0,0,2.6,74.08,-6,0.0,3.0
111,2,7,30,0,0,2.4,63.54,-4,0.0,3.0
112,2,8,0,8,0,2.2,72.05,-3,0.750807773,3.0
113,2,8,30,18,0,2.0,66.85,-2,1.689298925,3.0
114,2,9,0,55,0,1.8,72.81,-1,5.161689988,3.0
115,2,9,30,53,0,2.0,67.63,-1,4.97399217,3.0
116,2,10,0,153,65,2.2,72.03,-1,16.51740796,3.0
117,2,10,30,104,0,2.6,72.02,0,9.76017926,3.0
118,2,11,0,81,0,3.1,75.29,0,7.601678078,3.0
119,2,11,30,117,0,3.5,75.28,0,10.98020167,3.0
120,2,12,0,176,20,3.9,75.99,0,17.36185734,3.0
121,2,12,30,52,0,4.3,76.01,0,4.88008963,3.0
122,2,13,0,141,3,4.7,79.12,-1,13.32654506,3.0
123,2,13,30,101,0,5.0,79.17,-1,9.478739796,3.0
124,2,14,0,48,0,5.3,78.49,-2,4.504797132,3.0
125,2,14,30,28,0,5.1,84.71,-3,2.627827206,3.0
126,2,15,0,110,157,5.1,80.48,-4,14.26550446,3.0
127,2,15,30,71,535,4.4,86.96,-5,16.61198708,3.0
128,2,16,0,47,403,3.7,79.93,-7,9.010089324,3.0
129,2,16,30,26,0,3.1,86.46,-8,2.440259341,3.0
130,2,17,0,0,0,2.6,80.46,-9,0.0,3.0
131,2,17,30,0,0,2.3,87.15,-9,0.0,3.0
132,2,18,0,0,0,2.0,85.23,-10,0.0,3.0
133,2,18,30,0,0,1.7,85.26,-10,0.0,3.0
134,2,19,0,0,0,1.5,85.29,-11,0.0,3.0
135,2,19,30,0,0,1.2,85.3,-11,0.0,3.0
136,2,20,0,0,0,0.9,86.81,-12,0.0,3.0
137,2,20,30,0,0,0.7,86.81,-12,0.0,3.0
138,2,21,0,0,0,0.5,82.9,-12,0.0,3.0
139,2,21,30,0,0,0.4,82.89,-12,0.0,3.0
140,2,22,0,0,0,0.4,79.09,-13,0.0,3.0
141,2,22,30,0,0,0.7,79.08,-13,0.0,3.0
142,2,23,0,0,0,1.1,81.09,-13,0.0,3.0
143,2,23,30,0,0,1.4,81.08,-13,0.0,3.0
144,3,0,0,0,0,1.8,77.76,-14,0.0,3.0
145,3,0,30,0,0,2.0,77.77,-13,0.0,3.0
146,3,1,0,0,0,2.2,77.69,-13,0.0,3.0
147,3,1,30,0,0,2.2,71.57,-13,0.0,3.0
148,3,2,0,0,0,2.2,72.62,-13,0.0,3.0
149,3,2,30,0,0,2.2,72.61,-12,0.0,3.0
150,3,3,0,0,0,2.2,73.02,-12,0.0,3.0
151,3,3,30,0,0,2.2,73.01,-12,0.0,3.0
152,3,4,0,0,0,2.3,72.77,-12,0.0,3.0
153,3,4,30,0,0,2.2,72.77,-12,0.0,3.0
154,3,5,0,0,0,2.2,72.63,-12,0.0,3.0
155,3,5,30,0,0,2.0,66.98,-11,0.0,3.0
156,3,6,0,0,0,1.9,67.97,-11,0.0,3.0
157,3,6,30,0,0,1.8,67.99,-11,0.0,3.0
158,3,7,0,0,0,1.8,69.47,-11,0.0,3.0
159,3,7,30,0,0,2.1,59.16,-9,0.0,3.0
160,3,8,0,34,112,2.4,65.0,-8,4.129669654,3.0
161,3,8,30,65,160,2.6,55.59,-6,8.728428115,3.0
162,3,9,0,88,320,2.9,58.76,-5,15.57960371,3.0
163,3,9,30,129,183,2.7,54.46,-3,17.45628072,3.0
164,3,10,0,150,279,2.6,58.11,-2,23.556335,3.0
165,3,10,30,159,29,2.8,50.07,-1,16.04816342,3.0
166,3,11,0,190,298,3.0,52.79,0,29.93747292,3.0
167,3,11,30,211,210,3.2,49.08,0,28.81129839,3.0
168,3,12,0,114,0,3.5,54.63,0,10.69865804,3.0
169,3,12,30,152,6,3.5,54.64,0,14.54642101,3.0
170,3,13,0,189,48,3.6,57.39,1,19.70783769,3.0
171,3,13,30,83,0,3.4,57.4,0,7.789373832999999,3.0
172,3,14,0,61,911,3.2,59.01,0,38.00839039,3.0
173,3,14,30,105,492,2.8,59.03,0,24.96353542,3.0
174,3,15,0,111,167,2.5,65.15,0,14.64026889,3.0
175,3,15,30,27,0,2.3,70.12,0,2.5338926930000003,3.0
176,3,16,0,15,0,2.2,65.74,-1,1.407733633,3.0
177,3,16,30,4,0,2.2,65.75,-1,0.375395636,3.0
178,3,17,0,0,0,2.2,64.36,-2,0.0,3.0
179,3,17,30,0,0,2.0,64.38,-2,0.0,3.0
180,3,18,0,0,0,1.9,66.96,-3,0.0,3.0
181,3,18,30,0,0,1.7,66.99,-3,0.0,3.0
182,3,19,0,0,0,1.5,65.33,-4,0.0,3.0
183,3,19,30,0,0,1.4,65.34,-4,0.0,3.0
184,3,20,0,0,0,1.3,69.09,-4,0.0,3.0
185,3,20,30,0,0,1.4,69.07,-4,0.0,3.0
186,3,21,0,0,0,1.5,67.65,-5,0.0,3.0
187,3,21,30,0,0,1.7,67.61,-5,0.0,3.0
188,3,22,0,0,0,1.9,71.88,-5,0.0,3.0
189,3,22,30,0,0,2.0,71.85,-5,0.0,3.0
190,3,23,0,0,0,2.1,72.17,-5,0.0,3.0
191,3,23,30,0,0,2.1,72.18,-5,0.0,3.0
192,4,0,0,0,0,2.1,72.1,-5,0.0,3.0
193,4,0,30,0,0,2.0,72.1,-5,0.0,3.0
194,4,1,0,0,0,2.0,72.14,-5,0.0,3.0
195,4,1,30,0,0,2.0,72.11,-5,0.0,3.0
196,4,2,0,0,0,2.0,72.94,-5,0.0,3.0
197,4,2,30,0,0,2.0,72.92,-5,0.0,3.0
198,4,3,0,0,0,2.0,74.04,-5,0.0,3.0
199,4,3,30,0,0,2.0,68.57,-5,0.0,3.0
200,4,4,0,0,0,2.0,70.64,-5,0.0,3.0
201,4,4,30,0,0,2.1,70.63,-4,0.0,3.0
202,4,5,0,0,0,2.3,73.87,-4,0.0,3.0
203,4,5,30,0,0,2.5,68.44,-3,0.0,3.0
204,4,6,0,0,0,2.8,72.33,-3,0.0,3.0
205,4,6,30,0,0,3.2,67.06,-2,0.0,3.0
206,4,7,0,0,0,3.6,72.48,-2,0.0,3.0
207,4,7,30,0,0,3.8,67.26,-1,0.0,3.0
208,4,8,0,33,166,4.1,71.83,0,4.50469812,3.0
209,4,8,30,63,220,4.5,66.72,1,9.478531459,3.0
210,4,9,0,44,0,4.9,73.36,2,4.129215849,3.0
211,4,9,30,83,0,5.7,68.23,3,7.78911702,3.0
212,4,10,0,97,0,6.6,65.55,4,9.102843944,3.0
213,4,10,30,129,0,7.0,65.53,4,12.10584401,3.0
214,4,11,0,202,149,7.4,64.54,5,25.05600641,3.0
215,4,11,30,173,20,7.7,64.51,5,17.07937515,3.0
216,4,12,0,218,123,8.0,67.17,6,25.80646454,3.0
217,4,12,30,198,48,7.8,67.18,6,20.64517164,3.0
218,4,13,0,179,31,7.7,69.26,6,18.11144603,3.0
219,4,13,30,191,183,7.5,69.29,5,25.14984913,3.0
220,4,14,0,153,36,7.3,69.79,5,15.67173434,3.0
221,4,14,30,142,100,7.1,74.91,5,16.42247611,3.0
222,4,15,0,96,4,6.9,74.5,5,9.196586621,3.0
223,4,15,30,68,0,6.4,80.02,4,6.381375136,3.0
224,4,16,0,38,0,6.0,78.19,4,3.566062576,3.0
225,4,16,30,11,0,5.4,78.22,3,1.032292617,3.0
226,4,17,0,0,0,4.9,76.52,3,0.0,3.0
227,4,17,30,0,0,4.6,82.24,3,0.0,3.0
228,4,18,0,0,0,4.3,80.88,3,0.0,3.0
229,4,18,30,0,0,3.7,80.93,3,0.0,3.0
230,4,19,0,0,0,3.2,74.19,3,0.0,3.0
231,4,19,30,0,0,2.6,79.75,3,0.0,3.0
232,4,20,0,0,0,2.1,78.5,3,0.0,3.0
233,4,20,30,0,0,1.8,78.55,2,0.0,3.0
234,4,21,0,0,0,1.5,76.9,2,0.0,3.0
235,4,21,30,0,0,1.4,82.7,2,0.0,3.0
236,4,22,0,0,0,1.3,81.7,2,0.0,3.0
237,4,22,30,0,0,1.3,81.73,1,0.0,3.0
238,4,23,0,0,0,1.3,79.15,1,0.0,3.0
239,4,23,30,0,0,1.4,79.16,1,0.0,3.0
240,5,0,0,0,0,1.5,77.41,1,0.0,3.0
241,5,0,30,0,0,1.7,77.42,1,0.0,3.0
242,5,1,0,0,0,1.9,76.77,1,0.0,3.0
243,5,1,30,0,0,2.0,76.77,1,0.0,3.0
244,5,2,0,0,0,2.2,76.39,1,0.0,3.0
245,5,2,30,0,0,2.2,76.37,0,0.0,3.0
246,5,3,0,0,0,2.3,76.21,0,0.0,3.0
247,5,3,30,0,0,2.4,76.2,0,0.0,3.0
248,5,4,0,0,0,2.5,81.63,0,0.0,3.0
249,5,4,30,0,0,2.6,81.64,0,0.0,3.0
250,5,5,0,0,0,2.7,81.49,0,0.0,3.0
251,5,5,30,0,0,2.6,81.51,0,0.0,3.0
252,5,6,0,0,0,2.6,81.8,0,0.0,3.0
253,5,6,30,0,0,2.6,81.8,0,0.0,3.0
254,5,7,0,0,0,2.6,82.95,0,0.0,3.0
255,5,7,30,0,0,2.8,77.14,1,0.0,3.0
256,5,8,0,31,266,3.0,79.24,2,5.255365626000001,3.0
257,5,8,30,55,366,3.1,73.76,3,11.07368444,3.0
258,5,9,0,98,190,3.2,76.11,5,13.51335177,3.0
259,5,9,30,113,363,3.3,70.93,6,21.11438008,3.0
260,5,10,0,131,422,3.4,70.36,7,26.65074684,3.0
261,5,10,30,157,398,3.3,65.62,8,29.84100123,3.0
262,5,11,0,102,700,3.3,63.78,9,38.37998541,3.0
263,5,11,30,105,722,3.3,63.76,9,40.91362747,3.0
264,5,12,0,102,744,3.4,60.36,9,42.22736781,3.0
265,5,12,30,101,742,3.3,60.34,9,41.85201343,3.0
266,5,13,0,113,673,3.2,61.57,9,38.94301698,3.0
267,5,13,30,127,576,2.9,65.92,8,34.62682218,3.0
268,5,14,0,131,479,2.6,69.22,8,29.55948235,3.0
269,5,14,30,121,395,2.3,79.48,7,23.74168644,3.0
270,5,15,0,101,325,2.0,80.75,6,17.82992096,3.0
271,5,15,30,77,235,1.9,93.04,4,11.730469,3.0
272,5,16,0,48,177,1.9,89.3,3,6.66297962,3.0
273,5,16,30,22,0,2.0,96.02,2,2.064607925,3.0
274,5,17,0,0,0,2.1,90.05,1,0.0,3.0
275,5,17,30,0,0,2.3,90.08,1,0.0,3.0
276,5,18,0,0,0,2.5,87.11,1,0.0,3.0
277,5,18,30,0,0,2.7,87.12,1,0.0,3.0
278,5,19,0,0,0,3.0,84.3,1,0.0,3.0
279,5,19,30,0,0,3.0,84.31,1,0.0,3.0
280,5,20,0,0,0,3.0,81.26,1,0.0,3.0
281,5,20,30,0,0,2.8,81.26,0,0.0,3.0
282,5,21,0,0,0,2.7,78.27,0,0.0,3.0
283,5,21,30,0,0,2.3,78.28,0,0.0,3.0
284,5,22,0,0,0,2.0,82.04,0,0.0,3.0
285,5,22,30,0,0,1.5,88.34,0,0.0,3.0
286,5,23,0,0,0,1.1,92.08,-1,0.0,3.0
287,5,23,30,0,0,1.5,92.11,-1,0.0,3.0
288,6,0,0,0,0,1.9,86.51,-2,0.0,3.0
289,6,0,30,0,0,1.8,86.54,-2,0.0,3.0
290,6,1,0,0,0,1.7,85.72,-3,0.0,3.0
291,6,1,30,0,0,1.4,85.73,-3,0.0,3.0
292,6,2,0,0,0,1.1,87.04,-4,0.0,3.0
293,6,2,30,0,0,1.0,87.04,-4,0.0,3.0
294,6,3,0,0,0,0.9,90.47,-4,0.0,3.0
295,6,3,30,0,0,0.9,90.47,-4,0.0,3.0
296,6,4,0,0,0,0.9,87.82,-4,0.0,3.0
297,6,4,30,0,0,0.9,87.84,-4,0.0,3.0
298,6,5,0,0,0,0.9,84.25,-5,0.0,3.0
299,6,5,30,0,0,1.0,84.29,-5,0.0,3.0
300,6,6,0,0,0,1.1,86.59,-5,0.0,3.0
301,6,6,30,0,0,1.2,86.63,-5,0.0,3.0
302,6,7,0,0,0,1.3,80.3,-6,0.0,3.0
303,6,7,30,0,0,1.4,80.34,-5,0.0,3.0
304,6,8,0,8,0,1.5,78.68,-5,0.750824275,3.0
305,6,8,30,17,0,1.5,72.89,-4,1.595484051,3.0
306,6,9,0,52,0,1.5,71.79,-3,4.880250525,3.0
307,6,9,30,40,0,1.3,66.56,-2,3.75399761,3.0
308,6,10,0,58,0,1.1,66.1,-1,5.443236715,3.0
309,6,10,30,90,0,1.0,61.34,0,8.446308975,3.0
310,6,11,0,131,0,1.0,61.84,0,12.29407195,3.0
311,6,11,30,172,18,0.9,57.45,1,16.8924323,3.0
312,6,12,0,201,48,0.9,61.08,2,20.92761669,3.0
313,6,12,30,218,129,0.9,61.03,2,26.0891365,3.0
314,6,13,0,208,110,0.9,59.5,3,24.11810933,3.0
315,6,13,30,194,148,0.9,59.47,3,24.11810933,3.0
316,6,14,0,156,338,0.9,57.81,3,26.83960805,3.0
317,6,14,30,59,872,0.9,62.08,2,33.03372679,3.0
318,6,15,0,52,823,1.0,66.16,2,26.18298232,3.0
319,6,15,30,44,744,1.0,71.09,1,18.67552238,3.0
320,6,16,0,33,619,1.0,71.55,0,10.79250591,3.0
321,6,16,30,37,0,1.2,76.97,-1,3.4724096280000003,3.0
322,6,17,0,0,0,1.5,83.65,-2,0.0,3.0
323,6,17,30,0,0,1.8,77.6,-2,0.0,3.0
324,6,18,0,0,0,2.2,77.56,-2,0.0,3.0
325,6,18,30,0,0,2.6,77.52,-1,0.0,3.0
326,6,19,0,0,0,3.0,76.69,-1,0.0,3.0
327,6,19,30,0,0,3.1,71.18,-1,0.0,3.0
328,6,20,0,0,0,3.2,67.68,-1,0.0,3.0
329,6,20,30,0,0,3.1,67.64,0,0.0,3.0
330,6,21,0,0,0,3.0,63.64,0,0.0,3.0
331,6,21,30,0,0,3.1,63.6,0,0.0,3.0
332,6,22,0,0,0,3.2,61.12,0,0.0,3.0
333,6,22,30,0,0,3.4,56.75,0,0.0,3.0
334,6,23,0,0,0,3.7,56.9,0,0.0,3.0
335,6,23,30,0,0,3.9,52.87,0,0.0,3.0
336,7,0,0,0,0,4.1,55.67,1,0.0,3.0
337,7,0,30,0,0,4.4,55.65,1,0.0,3.0
338,7,1,0,0,0,4.7,59.43,1,0.0,3.0
339,7,1,30,0,0,4.8,59.41,1,0.0,3.0
340,7,2,0,0,0,4.9,62.72,2,0.0,3.0
341,7,2,30,0,0,4.8,62.69,2,0.0,3.0
342,7,3,0,0,0,4.7,64.27,2,0.0,3.0
343,7,3,30,0,0,4.5,64.25,1,0.0,3.0
344,7,4,0,0,0,4.4,64.11,1,0.0,3.0
345,7,4,30,0,0,4.2,64.11,1,0.0,3.0
346,7,5,0,0,0,4.1,63.79,1,0.0,3.0
347,7,5,30,0,0,4.0,63.8,1,0.0,3.0
348,7,6,0,0,0,4.0,63.77,1,0.0,3.0
349,7,6,30,0,0,4.1,63.78,1,0.0,3.0
350,7,7,0,0,0,4.2,64.31,1,0.0,3.0
351,7,7,30,0,0,4.4,64.32,2,0.0,3.0
352,7,8,0,24,563,4.6,64.53,3,7.319893102999999,3.0
353,7,8,30,36,726,4.3,60.07,4,15.20268782,3.0
354,7,9,0,44,821,4.0,61.91,5,23.08530927,3.0
355,7,9,30,50,880,3.4,57.71,6,30.31086563,3.0
356,7,10,0,56,917,2.8,57.91,7,36.59785657,3.0
357,7,10,30,60,943,2.6,54.02,7,41.75909275,3.0
358,7,11,0,66,955,2.5,51.6,8,45.60605848,3.0
359,7,11,30,67,965,2.4,51.58,8,48.13972839,3.0
360,7,12,0,68,969,2.3,53.15,8,49.26580391,3.0
361,7,12,30,68,967,2.3,56.92,8,48.89044541,3.0
362,7,13,0,67,959,2.3,58.65,8,47.01365288,3.0
363,7,13,30,65,945,2.3,62.87,7,43.82358723,3.0
364,7,14,0,61,922,2.3,64.42,7,39.22539499,3.0
365,7,14,30,57,888,2.0,69.1,6,33.50148306,3.0
366,7,15,0,52,832,1.8,77.38,5,26.65133266,3.0
367,7,15,30,44,753,1.7,89.29,3,19.05049103,3.0
368,7,16,0,34,612,1.7,85.85,1,10.980081,3.0
369,7,16,30,19,378,1.7,92.39,0,3.660067223,3.0
370,7,17,0,0,0,1.7,92.17,-1,0.0,3.0
371,7,17,30,0,0,1.5,92.2,-1,0.0,3.0
372,7,18,0,0,0,1.3,97.2,-2,0.0,3.0
373,7,18,30,0,0,1.3,97.21,-2,0.0,3.0
374,7,19,0,0,0,1.3,100.0,-2,0.0,3.0
375,7,19,30,0,0,1.4,100.0,-2,0.0,3.0
376,7,20,0,0,0,1.6,100.0,-3,0.0,3.0
377,7,20,30,0,0,1.8,100.0,-3,0.0,3.0
378,7,21,0,0,0,2.0,98.06,-4,0.0,3.0
379,7,21,30,0,0,2.1,98.07,-4,0.0,3.0
380,7,22,0,0,0,2.3,94.25,-5,0.0,3.0
381,7,22,30,0,0,2.4,94.26,-5,0.0,3.0
382,7,23,0,0,0,2.6,91.72,-6,0.0,3.0
383,7,23,30,0,0,2.5,91.74,-6,0.0,3.0
384,8,0,0,0,0,2.5,84.72,-7,0.0,3.0
385,8,0,30,0,0,2.3,84.72,-7,0.0,3.0
386,8,1,0,0,0,2.2,87.32,-7,0.0,3.0
387,8,1,30,0,0,1.9,87.32,-7,0.0,3.0
388,8,2,0,0,0,1.7,84.66,-7,0.0,3.0
389,8,2,30,0,0,1.4,84.63,-7,0.0,3.0
390,8,3,0,0,0,1.2,83.5,-7,0.0,3.0
391,8,3,30,0,0,1.2,83.47,-7,0.0,3.0
392,8,4,0,0,0,1.3,83.38,-7,0.0,3.0
393,8,4,30,0,0,1.4,77.11,-7,0.0,3.0
394,8,5,0,0,0,1.6,78.38,-7,0.0,3.0
395,8,5,30,0,0,1.5,78.37,-7,0.0,3.0
396,8,6,0,0,0,1.4,78.88,-7,0.0,3.0
397,8,6,30,0,0,1.5,78.88,-6,0.0,3.0
398,8,7,0,0,0,1.6,79.35,-6,0.0,3.0
399,8,7,30,0,0,1.8,73.46,-5,0.0,3.0
400,8,8,0,29,488,2.0,74.67,-4,7.132752227999999,3.0
401,8,8,30,44,664,1.6,64.19,-2,15.01599044,3.0
402,8,9,0,86,0,1.2,64.85,0,8.070917465,3.0
403,8,9,30,123,35,0.8,60.24,0,12.57561559,3.0
404,8,10,0,159,88,0.5,61.21,1,17.92474761,3.0
405,8,10,30,182,84,0.9,61.18,2,20.27069599,3.0
406,8,11,0,205,167,1.3,59.62,3,26.27653935,3.0
407,8,11,30,213,246,1.4,59.58,3,30.68724416,3.0
408,8,12,0,224,164,1.5,57.61,3,28.34112458,3.0
409,8,12,30,221,198,1.5,57.59,3,29.46726198,3.0
410,8,13,0,205,269,1.5,59.47,4,30.78075066,3.0
411,8,13,30,79,912,1.4,59.47,4,44.10656344,3.0
412,8,14,0,75,886,1.3,61.04,4,39.41437584,3.0
413,8,14,30,69,848,1.2,65.56,3,33.59643245,3.0
414,8,15,0,60,799,1.1,74.06,2,26.7460572,3.0
415,8,15,30,50,717,0.9,74.05,1,19.14475661,3.0
416,8,16,0,37,593,0.8,73.74,0,11.16789742,3.0
417,8,16,30,20,358,1.0,79.35,-1,3.847805264,3.0
418,8,17,0,0,0,1.2,80.99,-2,0.0,3.0
419,8,17,30,0,0,1.3,80.97,-2,0.0,3.0
420,8,18,0,0,0,1.5,85.9,-2,0.0,3.0
421,8,18,30,0,0,1.8,85.87,-2,0.0,3.0
422,8,19,0,0,0,2.1,84.91,-2,0.0,3.0
423,8,19,30,0,0,2.4,84.89,-2,0.0,3.0
424,8,20,0,0,0,2.8,83.25,-2,0.0,3.0
425,8,20,30,0,0,3.0,83.23,-2,0.0,3.0
426,8,21,0,0,0,3.2,81.18,-2,0.0,3.0
427,8,21,30,0,0,3.3,81.15,-2,0.0,3.0
428,8,22,0,0,0,3.5,79.4,-2,0.0,3.0
429,8,22,30,0,0,3.5,79.37,-2,0.0,3.0
430,8,23,0,0,0,3.6,78.04,-2,0.0,3.0
431,8,23,30,0,0,3.7,78.03,-2,0.0,3.0
432,9,0,0,0,0,3.8,77.35,-2,0.0,3.0
433,9,0,30,0,0,3.8,71.78,-2,0.0,3.0
434,9,1,0,0,0,3.9,72.77,-2,0.0,3.0
435,9,1,30,0,0,3.8,67.56,-1,0.0,3.0
436,9,2,0,0,0,3.8,70.45,-1,0.0,3.0
437,9,2,30,0,0,3.6,70.43,0,0.0,3.0
438,9,3,0,0,0,3.5,74.45,0,0.0,3.0
439,9,3,30,0,0,3.4,69.17,0,0.0,3.0
440,9,4,0,0,0,3.3,72.06,0,0.0,3.0
441,9,4,30,0,0,3.2,72.06,0,0.0,3.0
442,9,5,0,0,0,3.2,73.64,0,0.0,3.0
